Case ID;Activity;Resource;Timestamp;amount;expense;label;anomaly_type
CASE_2679;Submit Application;customer_976;2026-01-01 08:37:00;2988.82;74.7;regular;None
CASE_2318;Submit Application;customer_259;2026-01-01 09:02:00;3828.34;75.0;regular;None
CASE_2875;Submit Application;customer_731;2026-01-01 10:27:00;1317.08;55.38;regular;None
CASE_1789;Submit Application;customer_223;2026-01-01 12:38:00;3064.47;84.24;regular;None
CASE_2875;Verify Documents;clerk_john;2026-01-01 13:31:40;1317.08;55.38;regular;None
CASE_1684;Submit Application;customer_323;2026-01-01 13:36:00;3794.83;97.71;regular;None
CASE_1111;Submit Application;customer_179;2026-01-01 14:30:00;1511.14;82.74;regular;None
CASE_2189;Submit Application;customer_897;2026-01-01 15:04:00;1758.78;61.61;regular;None
CASE_2137;Submit Application;customer_415;2026-01-01 15:42:00;13036.57;189.82;regular;None
CASE_1111;Verify Documents;clerk_john;2026-01-01 16:57:34;1511.14;82.74;regular;None
CASE_2833;Submit Application;customer_914;2026-01-01 17:15:00;4795.07;100.7;regular;None
CASE_2318;Verify Documents;clerk_sarah;2026-01-01 18:51:04;3828.34;75.0;regular;None
CASE_2679;Verify Documents;clerk_sarah;2026-01-01 18:58:15;2988.82;74.7;regular;None
CASE_1789;Verify Documents;clerk_john;2026-01-01 19:21:04;3064.47;84.24;regular;None
CASE_2870;Submit Application;customer_579;2026-01-01 19:43:00;1883.23;48.18;regular;None
CASE_2425;Submit Application;customer_935;2026-01-01 19:52:00;9612.71;147.45;regular;None
CASE_2875;Assess Risk;underwriter_paul;2026-01-01 20:12:24;1317.08;55.38;regular;None
CASE_1386;Submit Application;customer_937;2026-01-01 20:44:00;1065.44;43.96;regular;None
CASE_1736;Submit Application;customer_115;2026-01-01 21:02:00;6119.75;116.6;regular;None
CASE_1684;Verify Documents;clerk_john;2026-01-01 21:06:47;3794.83;97.71;regular;None
CASE_2870;Verify Documents;clerk_john;2026-01-01 21:15:27;1883.23;48.18;regular;None
CASE_2137;Verify Documents;clerk_dave;2026-01-01 21:29:13;13036.57;189.82;regular;None
CASE_2666;Submit Application;customer_413;2026-01-01 22:16:00;1164.91;65.88;regular;None
CASE_1736;Verify Documents;clerk_sarah;2026-01-01 22:19:19;6119.75;116.6;regular;None
CASE_2427;Submit Application;customer_431;2026-01-01 22:34:00;8840.48;136.54;regular;None
CASE_1789;Assess Risk;underwriter_paul;2026-01-01 22:35:55;3064.47;84.24;regular;None
CASE_2832;Submit Application;customer_518;2026-01-01 22:39:00;1973.37;69.42;regular;None
CASE_2875;Approve Loan;manager_tom;2026-01-01 22:43:41;1317.08;55.38;regular;None
CASE_2170;Submit Application;customer_133;2026-01-01 23:11:00;17552.11;245.7;regular;None
CASE_1111;Assess Risk;underwriter_paul;2026-01-01 23:40:24;1511.14;82.74;regular;None
CASE_1789;Approve Loan;manager_tom;2026-01-01 23:52:11;3064.47;84.24;regular;None
