article;vehicleClass;amount;points;Case ID;Activity;Resource;lastSent;notificationType;dismissal;expense;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases;label
157.0;A;35.0;0.0;A100;Create Fine;561.0;missing;missing;NIL;0.0;2006-08-02 01:00:00;60;8;2;1;0.0;0.0;1;11246;deviant
157.0;A;35.0;0.0;A100;Send Fine;561.0;missing;missing;NIL;11.0;2006-12-12 01:00:00;60;12;1;1;190080.0;190080.0;2;12380;deviant
157.0;A;35.0;0.0;A100;Insert Fine Notification;561.0;P;P;NIL;11.0;2007-01-15 01:00:00;60;1;0;1;48960.0;239040.0;3;12202;deviant
157.0;A;71.5;0.0;A100;Add penalty;561.0;P;P;NIL;11.0;2007-03-16 01:00:00;60;3;4;1;86400.0;325440.0;4;7749;deviant
157.0;A;36.0;0.0;A10000;Create Fine;561.0;missing;missing;NIL;0.0;2007-03-09 01:00:00;60;3;4;1;0.0;0.0;1;7756;regular
157.0;A;36.0;0.0;A10000;Send Fine;561.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;187200.0;187200.0;2;9347;regular
157.0;A;36.0;0.0;A10000;Insert Fine Notification;561.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;23040.0;210240.0;3;9838;regular
157.0;A;74.0;0.0;A10000;Add penalty;561.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;86400.0;296640.0;4;10875;regular
157.0;A;74.0;0.0;A10000;Payment;561.0;P;P;NIL;13.0;2008-09-09 01:00:00;60;9;1;1;495360.0;792000.0;5;14502;regular
157.0;A;36.0;0.0;A10001;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-19 01:00:00;60;3;0;1;0.0;0.0;1;7815;regular
157.0;A;36.0;0.0;A10001;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;172800.0;172800.0;2;9347;regular
157.0;A;36.0;0.0;A10001;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-25 01:00:00;60;7;2;1;11520.0;184320.0;3;9586;regular
157.0;A;36.0;0.0;A10001;Insert Date Appeal to Prefecture;537.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;11520.0;195840.0;4;9838;regular
157.0;A;74.0;0.0;A10001;Add penalty;537.0;P;P;NIL;13.0;2007-09-23 01:00:00;60;9;6;1;74880.0;270720.0;5;10828;regular
157.0;A;74.0;0.0;A10001;Send Appeal to Prefecture;537.0;P;P;#;13.0;2007-09-24 01:00:00;60;9;0;1;1440.0;272160.0;6;10851;regular
157.0;A;36.0;0.0;A10004;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7824;deviant
157.0;A;36.0;0.0;A10004;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;171360.0;171360.0;2;9347;deviant
157.0;A;36.0;0.0;A10004;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-24 01:00:00;60;7;1;1;10080.0;181440.0;3;9588;deviant
157.0;A;74.0;0.0;A10004;Add penalty;537.0;P;P;NIL;13.0;2007-09-22 01:00:00;60;9;5;1;86400.0;267840.0;4;10827;deviant
157.0;A;36.0;0.0;A10005;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7825;regular
157.0;A;36.0;0.0;A10005;Payment;537.0;missing;missing;NIL;0.0;2007-03-21 01:00:00;60;3;2;1;1440.0;1440.0;2;7821;regular
157.0;A;36.0;0.0;A10007;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7826;regular
157.0;A;36.0;0.0;A10007;Payment;537.0;missing;missing;NIL;0.0;2007-03-23 01:00:00;60;3;4;1;4320.0;4320.0;2;7823;regular
157.0;A;36.0;0.0;A10008;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7827;deviant
157.0;A;36.0;0.0;A10008;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;171360.0;171360.0;2;9347;deviant
157.0;A;36.0;0.0;A10008;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;23040.0;194400.0;3;9838;deviant
157.0;A;74.0;0.0;A10008;Add penalty;537.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;86400.0;280800.0;4;10875;deviant
7.0;A;22.0;0.0;A10009;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7828;regular
7.0;A;22.0;0.0;A10009;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;171360.0;171360.0;2;9347;regular
7.0;A;22.0;0.0;A10009;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;180000.0;3;9570;regular
7.0;A;44.0;0.0;A10009;Add penalty;537.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;266400.0;4;10813;regular
7.0;A;44.0;0.0;A10009;Payment;537.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;14400.0;280800.0;5;10875;regular
7.0;A;44.0;0.0;A10009;Payment;537.0;P;P;NIL;13.0;2007-10-31 01:00:00;60;10;2;1;43200.0;324000.0;6;10844;regular
7.0;A;21.0;0.0;A1001;Create Fine;550.0;missing;missing;NIL;0.0;2006-08-02 01:00:00;60;8;2;1;0.0;0.0;1;11247;deviant
7.0;A;21.0;0.0;A1001;Send Fine;550.0;missing;missing;NIL;11.0;2006-12-12 01:00:00;60;12;1;1;190080.0;190080.0;2;12380;deviant
7.0;A;21.0;0.0;A1001;Insert Fine Notification;550.0;P;P;NIL;11.0;2006-12-31 01:00:00;60;12;6;1;27360.0;217440.0;3;12259;deviant
7.0;A;42.5;0.0;A1001;Add penalty;550.0;P;P;NIL;11.0;2007-03-01 01:00:00;60;3;3;1;86400.0;303840.0;4;7690;deviant
157.0;A;36.0;0.0;A10010;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-20 01:00:00;60;3;1;1;0.0;0.0;1;7829;deviant
157.0;A;36.0;0.0;A10010;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;171360.0;171360.0;2;9347;deviant
157.0;A;36.0;0.0;A10010;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;180000.0;3;9570;deviant
157.0;A;74.0;0.0;A10010;Add penalty;537.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;266400.0;4;10813;deviant
157.0;A;36.0;0.0;A10011;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-21 01:00:00;60;3;2;1;0.0;0.0;1;7820;deviant
157.0;A;36.0;0.0;A10011;Send Fine;537.0;missing;missing;NIL;18.6;2007-09-29 01:00:00;60;9;5;1;276480.0;276480.0;2;10849;deviant
157.0;A;36.0;0.0;A10011;Insert Fine Notification;537.0;P;P;NIL;18.6;2007-10-12 01:00:00;60;10;4;1;18720.0;295200.0;3;10918;deviant
157.0;A;74.0;0.0;A10011;Add penalty;537.0;P;P;NIL;18.6;2007-12-11 01:00:00;60;12;1;1;86400.0;381600.0;4;10403;deviant
157.0;A;36.0;0.0;A10015;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-21 01:00:00;60;3;2;1;0.0;0.0;1;7821;deviant
157.0;A;36.0;0.0;A10015;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;192960.0;192960.0;2;9838;deviant
157.0;A;36.0;0.0;A10015;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-19 01:00:00;60;8;6;1;24480.0;217440.0;3;10552;deviant
157.0;A;74.0;0.0;A10015;Add penalty;537.0;P;P;NIL;13.0;2007-10-18 01:00:00;60;10;3;1;86400.0;303840.0;4;10950;deviant
7.0;A;22.0;0.0;A10018;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7818;regular
7.0;A;22.0;0.0;A10018;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;191520.0;191520.0;2;9838;regular
7.0;A;22.0;0.0;A10018;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-09 01:00:00;60;8;3;1;10080.0;201600.0;3;10113;regular
